Linear regression parameters:
Intercept: 1.18548
Slope: 0.599758
Correlation: 0.37105
Target-output data:
submatrix_0
5 8.9535
0 6.08248
4 3.72481
1 0.531971
9 6.50905
2 -2.39296
1 6.08594
3 2.6942
1 3.16566
4 3.33459
3 2.48444
5 4.23643
3 3.35208
6 1.13771
1 3.53202
7 2.44291
2 1.5862
8 6.1994
6 4.36263
9 7.56179
4 3.73064
0 -0.409179
9 8.89508
1 4.27896
1 0.227829
2 1.78723
4 3.27951
3 2.67214
2 1.44642
7 -0.0676831
3 2.82696
8 -1.64886
6 5.49983
9 8.76931
0 0.151257
5 5.22902
6 -1.18013
0 -0.19956
7 6.67713
6 5.60791
1 -0.892512
8 7.55111
7 0.643489
9 -0.719687
3 7.44527
9 8.78966
8 7.51593
5 4.62515
9 -2.57968
3 2.11906
3 3.2965
0 -0.317374
7 6.41704
4 3.65058
9 24.2601
8 4.47069
0 -0.3189
9 8.22195
4 5.95955
1 -0.836556
4 3.78399
4 5.8357
6 0.15566
0 17.5579
4 3.87948
5 4.48195
6 -6.23387
1 1.4054
0 -0.453711
0 1.93894
1 0.446782
7 4.79596
1 -2.30566
6 4.24308
3 0.226209
0 0.0453305
2 1.87278
1 -0.723594
1 -0.633892
7 8.41751
9 8.31205
0 -7.82474
2 2.26191
6 18.0347
7 23.4057
8 3.3257
3 2.76276
9 2.9825
0 12.0867
4 2.22064
6 5.83809
7 2.12302
4 4.9343
6 5.10782
8 7.38361
0 0.0995925
7 5.85938
8 1.87715
3 2.10727
1 0.550755
